Id,UpperDepth,LowerDepth,Value,Lambda,tsme
5467,0,5,51.7703814586092,0.1,0.0102556145525378
5467,5,15,52.956007965598,0.1,0.0102556145525378
5467,15,30,56.2032699866777,0.1,0.0102556145525378
5467,30,60,62.2451738475129,0.1,0.0102556145525378
5467,60,100,67.1055570392212,0.1,0.0102556145525378
5467,100,200,65.5687662888239,0.1,0.0102556145525378
5546,0,5,64.0520854802795,0.1,0.0218382044051125
5546,5,15,65.302137006987,0.1,0.0218382044051125
5546,15,30,67.4752508058132,0.1,0.0218382044051125
5546,30,60,66.7458200028862,0.1,0.0218382044051125
5546,60,100,68.511479305931,0.1,0.0218382044051125
5546,100,200,66.1796227361126,0.1,0.0218382044051125
6005,0,5,30.8514326739219,0.1,0.00947591905436342
6005,5,15,32.3137815341091,0.1,0.00947591905436342
6005,15,30,35.9687505775478,0.1,0.00947591905436342
6005,30,60,36.6983288432695,0.1,0.00947591905436342
6005,60,100,-9999,0.1,0.00947591905436342
6005,100,200,-9999,0.1,0.00947591905436342
11610,0,5,39.658203125,0.1,0.00587463378906208
11610,5,15,40.96923828125,0.1,0.00587463378906208
11610,15,30,44.2724609375,0.1,0.00587463378906208
11610,30,60,-9999,0.1,0.00587463378906208
11610,60,100,-9999,0.1,0.00587463378906208
11610,100,200,-9999,0.1,0.00587463378906208
11612,0,5,30.1796875,0.1,0.022216796874999
11612,5,15,33.326171875,0.1,0.022216796874999
11612,15,30,41.25390625,0.1,0.022216796874999
11612,30,60,-9999,0.1,0.022216796874999
11612,60,100,-9999,0.1,0.022216796874999
11612,100,200,-9999,0.1,0.022216796874999
11613,0,5,53.3547575873444,0.1,0.0698271517133846
11613,5,15,56.6864419680756,0.1,0.0698271517133846
11613,15,30,64.956196879794,0.1,0.0698271517133846
11613,30,60,65.4286581986159,0.1,0.0698271517133846
11613,60,100,59.2398783037418,0.1,0.0698271517133846
11613,100,200,54.6857701104056,0.1,0.0698271517133846
11614,0,5,16.521484375,0.1,0.00917053222656221
11614,5,15,18.35693359375,0.1,0.00917053222656221
11614,15,30,22.9814453125,0.1,0.00917053222656221
11614,30,60,-9999,0.1,0.00917053222656221
11614,60,100,-9999,0.1,0.00917053222656221
11614,100,200,-9999,0.1,0.00917053222656221
11615,0,5,48.931640625,0.1,0.00257873535156242
11615,5,15,49.19384765625,0.1,0.00257873535156242
11615,15,30,49.8544921875,0.1,0.00257873535156242
11615,30,60,-9999,0.1,0.00257873535156242
11615,60,100,-9999,0.1,0.00257873535156242
11615,100,200,-9999,0.1,0.00257873535156242
11616,0,5,48.6151896847908,0.1,0.0228260122034311
11616,5,15,50.6021429469765,0.1,0.0228260122034311
11616,15,30,55.7352344941723,0.1,0.0228260122034311
11616,30,60,59.816209564747,0.1,0.0228260122034311
11616,60,100,57.1288580904285,0.1,0.0228260122034311
11616,100,200,53.5083909281929,0.1,0.0228260122034311
11617,0,5,29.384765625,0.1,0.0135650634765618
11617,5,15,31.74462890625,0.1,0.0135650634765618
11617,15,30,37.6904296875,0.1,0.0135650634765618
11617,30,60,-9999,0.1,0.0135650634765618
11617,60,100,-9999,0.1,0.0135650634765618
11617,100,200,-9999,0.1,0.0135650634765618
11618,0,5,45.5201755945439,0.1,0.0261882850442703
11618,5,15,47.9977304573315,0.1,0.0261882850442703
11618,15,30,54.4183607163196,0.1,0.0261882850442703
11618,30,60,60.0633876342126,0.1,0.0261882850442703
11618,60,100,64.9563348726464,0.1,0.0261882850442703
11618,100,200,65.2118350254577,0.1,0.0261882850442703
11620,0,5,23.58984375,0.1,0.00738525390624975
11620,5,15,25.1630859375,0.1,0.00738525390624975
11620,15,30,29.126953125,0.1,0.00738525390624975
11620,30,60,-9999,0.1,0.00738525390624975
11620,60,100,-9999,0.1,0.00738525390624975
11620,100,200,-9999,0.1,0.00738525390624975
11621,0,5,27.794921875,0.1,0.00367736816406238
11621,5,15,28.58154296875,0.1,0.00367736816406238
11621,15,30,30.5634765625,0.1,0.00367736816406238
11621,30,60,-9999,0.1,0.00367736816406238
11621,60,100,-9999,0.1,0.00367736816406238
11621,100,200,-9999,0.1,0.00367736816406238
11622,0,5,78.8876031715236,0.1,0.0165236308205791
11622,5,15,79.4679598724064,0.1,0.0165236308205791
11622,15,30,80.6931069701966,0.1,0.0165236308205791
11622,30,60,76.5940185264469,0.1,0.0165236308205791
11622,60,100,69.6762811213346,0.1,0.0165236308205791
11622,100,200,70.4079036383377,0.1,0.0165236308205791
11623,0,5,32.7671156436579,0.1,0.264565852166652
11623,5,15,42.3940071795553,0.1,0.264565852166652
11623,15,30,50.2811303132787,0.1,0.264565852166652
11623,30,60,55.0323827445341,0.1,0.264565852166652
11623,60,100,-9999,0.1,0.264565852166652
11623,100,200,-9999,0.1,0.264565852166652
11627,0,5,16.6886908505551,0.1,26.038515865143
11627,5,15,18.1298375165199,0.1,26.038515865143
11627,15,30,34.5630276314732,0.1,26.038515865143
11627,30,60,-9999,0.1,26.038515865143
